RRT*,1,12.5,30,39,295,13,37.62948449968217
RRT*,1,12.5,30,52,295,13,38.211449443344684
RRT*,1,12.5,35,0,209,-1,-1
RRT*,1,12.5,35,13,281,11,36.63118694351829
RRT*,1,12.5,35,26,308,13,37.02281468805614
RRT*,1,12.5,35,39,415,12,37.29609411665695
RRT*,1,12.5,35,52,417,15,37.150210914531705
RRT*,1,12.5,40,0,309,9,37.747811771868264
RRT*,1,12.5,40,13,277,11,36.63118694351829
RRT*,1,12.5,40,26,192,-1,-1
RRT*,1,12.5,40,39,266,12,37.92498667551966
RRT*,1,12.5,40,52,269,9,38.20912410504986
RRT*,2,2.5,20,0,202,16,52.93320002083857
RRT*,2,2.5,20,13,192,17,52.604451082773444
RRT*,2,2.5,20,26,195,16,52.9958126366359
RRT*,2,2.5,20,39,201,14,52.01988135503014
RRT*,2,2.5,20,52,268,16,51.24685660874587
RRT*,2,2.5,25,0,244,16,51.248593144320026
RRT*,2,2.5,25,13,231,15,52.08742500058964
RRT*,2,2.5,25,26,237,13,50.39999818962668
RRT*,2,2.5,25,39,225,12,51.68283259385007
RRT*,2,2.5,25,52,213,15,51.94986759846494
RRT*,2,2.5,30,0,208,12,51.49300261479465
RRT*,2,2.5,30,13,162,15,52.49617666937224
RRT*,2,2.5,30,26,141,12,52.27600787949626
RRT*,2,2.5,30,39,133,12,52.36551822689661
RRT*,2,2.5,30,52,136,8,54.412275249875414
RRT*,2,2.5,35,0,135,9,52.64706862196645
RRT*,2,2.5,35,13,120,11,52.58035186792974
RRT*,2,2.5,35,26,127,12,52.47326728216309
RRT*,2,2.5,35,39,117,10,52.70229566370179
RRT*,2,2.5,35,52,123,10,54.39958231486121
RRT*,2,2.5,40,0,123,9,52.64706862196645
RRT*,2,2.5,40,13,110,8,52.85714158290204
RRT*,2,2.5,40,26,115,9,52.46464550764265
RRT*,2,2.5,40,39,107,10,52.63788609037162
RRT*,2,2.5,40,52,113,10,54.39958231486121
RRT*,2,5,20,0,303,23,52.362596953302834
RRT*,2,5,20,13,279,18,51.486666120417524
RRT*,2,5,20,26,299,18,52.94438223151271
RRT*,2,5,20,39,283,14,52.01988135503014
RRT*,2,5,20,52,280,16,51.24685660874587
RRT*,2,5,25,0,253,16,51.248593144320026
RRT*,2,5,25,13,238,15,52.03044609346434
RRT*,2,5,25,26,250,13,50.39999818962668
RRT*,2,5,25,39,232,12,51.68283259385007
RRT*,2,5,25,52,236,16,51.28832879274523
RRT*,2,5,30,0,217,12,51.49300261479465
